id,nume,prenume,jud_dom,juddom,loc_dom,locdom,ocupatia,profesia,nrcirc,dencirc,tip_camera,tip_formatiune,denumire_formatiune,denumireformatiune,pozitie
125,SZEKELY,ÁRPÁD,6,BISTRIŢA-NĂSĂUD,32483,ORAŞ BECLEAN,INVATATOR,PROFESOR ÎNVĂȚĂMÂNT PRIMAR,10,BUZĂU,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,5
126,MOISUC,FLORIN,7,BOTOŞANI,35731,MUNICIPIUL BOTOŞANI,PENSIONAR,FUNCȚIONAR PUBLIC,7,BOTOŞANI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,6
127,CRISTESCU,MARIUS,7,BOTOŞANI,35731,MUNICIPIUL BOTOŞANI,ARBITRU JUDICIAR,JURIST,7,BOTOŞANI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,3
128,COJOCARIU,IOAN,7,BOTOŞANI,35731,MUNICIPIUL BOTOŞANI,ARBITRU JUDICIAR,JURIST,7,BOTOŞANI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,7
129,LUCA,MIHAELA,7,BOTOŞANI,36006,MUNICIPIUL DOROHOI,MAISTRU,MAISTRU CONFECTII INCALTAMINTE,7,BOTOŞANI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,4
130,ALECU,DANIEL,7,BOTOŞANI,38063,MIHAI EMINESCU,PROFESOR,PROFESOR PENTRU ÎNVĂȚĂMÂNT PRIMAR,7,BOTOŞANI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,5
131,CALISTRU,MIRCEA,7,BOTOŞANI,38982,SUHARĂU,ADMINISTRATOR,ECONOMIST,7,BOTOŞANI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,2
132,KOSZTA,IOLAN-ENIKŐ,8,BRAŞOV,40198,MUNICIPIUL BRAŞOV,PREOT EVANGHELIC-LUTHERAN,PREOT EVANGHELIC-LUTHERAN,27,MEHEDINŢI,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,4
133,GŐDRI,IOSIF,8,BRAŞOV,40688,BUDILA,FUNCȚIE ADMINISTRATIVĂ,MECANIC AVIAȚIE,41,VRANCEA,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,1
134,GRAMA,HORIA,8,BRAŞOV,41088,HĂRMAN,DEPUTAT,INGINER,15,COVASNA,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,1
135,SZAKAL,ANDRAS-ZSÓLT,8,BRAŞOV,42003,TĂRLUNGENI,DIRECTOR,INGINER,10,BUZĂU,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,1
136,NISTOR,MARIOARA,9,BRĂILA,42682,MUNICIPIUL BRĂILA,DEPUTAT,ECONOMIST,9,BRĂILA,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,1
137,SARAFOLEAN,COMAN,9,BRĂILA,42682,MUNICIPIUL BRĂILA,PENSIONAR,PROFESOR,9,BRĂILA,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,3
138,DUMITRIU,EMILIAN,9,BRĂILA,42682,MUNICIPIUL BRĂILA,INGINER,INGINER,9,BRĂILA,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,4
139,ȚIPARU,IONUȚ,9,BRĂILA,42682,MUNICIPIUL BRĂILA,CLASIFICATOR CARCASE,INGINER,9,BRĂILA,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,7
140,MĂRGINEANU,DANIELA-NICOLETA,9,BRĂILA,42682,MUNICIPIUL BRĂILA,GESTIONAR,ECONOMIST,9,BRĂILA,CD,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,2
141,PĂPĂDIE,AURELIAN-MIRCEA,9,BRĂILA,42682,MUNICIPIUL BRĂILA,GESTIONAR,ECONOMIST,9,BRĂILA,CD,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,3
142,DOAGĂ,TUDORIȚA,9,BRĂILA,42682,MUNICIPIUL BRĂILA,MAGAZIONER,ECONOMIST,9,BRĂILA,CD,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,5
143,DRAGOMIR,SILVIU-MARIAN,9,BRĂILA,42682,MUNICIPIUL BRĂILA,MUNCITOR,ELECTRICIAN,9,BRĂILA,CD,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,6
144,BAICU,VALERICA,9,BRĂILA,42682,MUNICIPIUL BRĂILA,RECEPȚIONER,RECEPȚIONER,9,BRĂILA,CD,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,7
145,BADIU,MANUELA-IOANA,9,BRĂILA,42682,MUNICIPIUL BRĂILA,GESTIONAR,ECONOMIST,9,BRĂILA,S,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,4
146,MOCANU,VIOREL,9,BRĂILA,42682,MUNICIPIUL BRĂILA,PENSIONAR,INGINER UTILAJE TEHNOLOGICE,9,BRĂILA,S,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,2
147,ȚIPARU,MONICA,9,BRĂILA,42682,MUNICIPIUL BRĂILA,PROFESOR,PROFESOR,9,BRĂILA,S,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,4
148,RĂUREANU,ADRIAN-CORNELIU,9,BRĂILA,42682,MUNICIPIUL BRĂILA,INGINER AGRONOM,INGINER AGRONOM,9,BRĂILA,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,1
149,FĂTU,NECULAI,9,BRĂILA,42682,MUNICIPIUL BRĂILA,DIRECTOR,INGINER,9,BRĂILA,CD,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,1
150,MĂRGINEANU,ION,9,BRĂILA,42682,MUNICIPIUL BRĂILA,INSTRUCTOR AUTO,INSTRUCTOR AUTO,9,BRĂILA,S,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,1
151,BOTOȘĂNEANU,LILIANA,9,BRĂILA,42682,MUNICIPIUL BRĂILA,ASISTENT MEDICAL,ASISTENT MEDICAL,9,BRĂILA,CD,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,4
152,KOLER,VIRGINIA,9,BRĂILA,42682,MUNICIPIUL BRĂILA,INGINER,INGINER,9,BRĂILA,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,5
153,MURGOCI,MARIUS-IANI,9,BRĂILA,42682,MUNICIPIUL BRĂILA,CONTABIL,ECONOMIST,9,BRĂILA,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,3
154,BOTEA,VIOREL,9,BRĂILA,42682,MUNICIPIUL BRĂILA,PROFESOR,PROFESOR,9,BRĂILA,S,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,2
155,MIRCEA,GIANINA-MONICA,9,BRĂILA,42682,MUNICIPIUL BRĂILA,GESTIONAR,ECONOMIST,9,BRĂILA,S,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,2
156,DRĂGAN,MIHAI-COMAN,9,BRĂILA,42682,MUNICIPIUL BRĂILA,PENSIONAR,TEHNICIAN ELECTROMECANIC,9,BRĂILA,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,2
157,ADETU,IONEL,9,BRĂILA,42682,MUNICIPIUL BRĂILA,ADMINISTRATOR FIRMĂ,ECONOMIST,9,BRĂILA,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,2
158,STĂNCESCU,VIRGINIA,9,BRĂILA,42753,ORAŞ FĂUREI,VICEPRIMAR UAT FĂUREI,INGINER ZOOTEHNIST,9,BRĂILA,S,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,3
159,PRICOP,RADU,9,BRĂILA,43411,ORAŞ ÎNSURĂŢEI,PENSIONAR,TEHNICIAN  CONSTRUCTOR,9,BRĂILA,S,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,3
160,PRICOP,LENUȚA,9,BRĂILA,43411,ORAŞ ÎNSURĂŢEI,CONTABIL ȘEF,CONTABIL,9,BRĂILA,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,5
161,MINEA,PETRIȘOR,9,BRĂILA,44560,CAZASU,LĂCĂTUȘ,TEHNICIAN,9,BRĂILA,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,4
162,BOTEA,GABRIEL-SILVIU,9,BRĂILA,43563,MĂXINENI,INSPECTOR PROTECȚIA MUNCII,INGINER,9,BRĂILA,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,6
163,GÎSCĂ,TUDOREL,9,BRĂILA,43698,RACOVIŢĂ,PRIMAR,SUBINGINER,9,BRĂILA,S,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,4
164,BAICU,GHEORGHE,9,BRĂILA,44060,STĂNCUŢA,SUDOR,SUDOR,9,BRĂILA,S,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,3
165,ARDELEANU,ALEXANDRU,9,BRĂILA,44140,ŞUŢEŞTI,PENSIONAR,TEHNICIAN AGRICOL,9,BRĂILA,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,6
166,HURMUZACHE,AUREL,9,BRĂILA,44202,TRAIAN,PENSIONAR,INGINER ZOOTEHNIST,9,BRĂILA,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,7
167,ANCUȚA,GEORGE CRISTIAN,9,BRĂILA,44391,VĂDENI,DIRECTOR GENERAL,ADMINISTRAȚIE PUBLICĂ,9,BRĂILA,S,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,1
168,BORCEANU,MARIA-MAGDALENA,11,CARAŞ-SEVERIN,50790,MUNICIPIUL REŞIŢA,CONTABIL,CONTABIL,11,CARAŞ-SEVERIN,S,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,4
169,PASĂRE,IONEL-CLAUDIU,11,CARAŞ-SEVERIN,50790,MUNICIPIUL REŞIŢA,EXPERT STUDII SECURITATE,JURIST,11,CARAŞ-SEVERIN,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,1
170,MĂNESCU,TIBERIU,11,CARAŞ-SEVERIN,50790,MUNICIPIUL REŞIŢA,FĂRĂ,DOCTOR INGINER,11,CARAŞ-SEVERIN,CD,CI,,,
171,JURCHESCU,MIHAI-DOREL,11,CARAŞ-SEVERIN,50790,MUNICIPIUL REŞIŢA,CONSILIER,ECONOMIST,11,CARAŞ-SEVERIN,S,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,1
172,BERESKI LĂPĂDAT,MARILENA ADRIANA,11,CARAŞ-SEVERIN,50790,MUNICIPIUL REŞIŢA,MECANIC,AGENT PAZĂ,11,CARAŞ-SEVERIN,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,3
173,ȘPAN,SEBASTIAN-TUDOR,11,CARAŞ-SEVERIN,50790,MUNICIPIUL REŞIŢA,ECONOMIST,ECONOMIST,11,CARAŞ-SEVERIN,S,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,3
174,BINIȘAN,ILIE-OCTAVIAN,11,CARAŞ-SEVERIN,50969,ORAŞ BOCŞA,ȘEF DEPARTAMENT VÂNZĂRI,TEHNICIAN ELECTROTEHNIST,11,CARAŞ-SEVERIN,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,7
175,IANCOVICI,MILE-ȘTEFAN,11,CARAŞ-SEVERIN,51056,ORAŞ MOLDOVA NOUĂ,INGINER MECANIC,INGINER MECANIC,11,CARAŞ-SEVERIN,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,6
176,HARAMUZ,PAVEL CĂTĂLIN,11,CARAŞ-SEVERIN,53700,EFTIMIE MURGU,ADMINISTRATOR FIRMĂ,TEHNICIAN SILVIC,11,CARAŞ-SEVERIN,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,4
177,JURA,PETRU-COSMIN,11,CARAŞ-SEVERIN,53728,RUSCA MONTANĂ,ADMINISTRATOR FIRMA,INGINER MECANIC,11,CARAŞ-SEVERIN,S,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,2
178,RĂDOI,NICOLAE,11,CARAŞ-SEVERIN,54412,TURNU RUIENI,FUNCȚIONAR,TEHNICIAN SILVIC,11,CARAŞ-SEVERIN,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,5
179,BURICEA,ALEXANDRU-EDUARD,51,CĂLĂRAŞI,92569,MUNICIPIUL CĂLĂRAŞI,FĂRĂ OCUPAȚIE,INGINER SILVIC,12,CĂLĂRAŞI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,2
180,DULCE,MARIUS-GRIGORE,51,CĂLĂRAŞI,92569,MUNICIPIUL CĂLĂRAŞI,DIRECTOR ADJUNCT,INGINER,12,CĂLĂRAŞI,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,2
181,CIULINARU,DENISA-CARMEN,51,CĂLĂRAŞI,92569,MUNICIPIUL CĂLĂRAŞI,ȘEF LUCRĂRI DOCTOR,DOCTOR INGINER,12,CĂLĂRAŞI,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,5
182,VASILE,CRISTIAN-CONSTANTIN,51,CĂLĂRAŞI,92569,MUNICIPIUL CĂLĂRAŞI,ELECTRONIST CFR,ELECTRONIST CFR,12,CĂLĂRAŞI,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,4
183,ȘOVĂILĂ,CRISTINA-NARCISA,51,CĂLĂRAŞI,92569,MUNICIPIUL CĂLĂRAŞI,LUCRĂTOR COMERCIAL,ZIARIST,12,CĂLĂRAŞI,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,6
184,SIN,VALENTIN,51,CĂLĂRAŞI,92569,MUNICIPIUL CĂLĂRAŞI,ADMINISTRATOR FIRMĂ,AJUTOR ANALIST,12,CĂLĂRAŞI,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,2
185,ALĂMUREANU,VASILE,51,CĂLĂRAŞI,92569,MUNICIPIUL CĂLĂRAŞI,PENSIONAR,INGINER AGRONOM,12,CĂLĂRAŞI,S,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,4
186,NUȚU,MARIAN,51,CĂLĂRAŞI,92569,MUNICIPIUL CĂLĂRAŞI,ASISTENT SOCIAL,ASISTENT SOCIAL,12,CĂLĂRAŞI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,5
187,STAN,VASILE,51,CĂLĂRAŞI,92569,MUNICIPIUL CĂLĂRAŞI,PENSIONAR,ELECTRICIAN,12,CĂLĂRAŞI,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,5
188,VRĂJITORU,SORINEL-MARIAN,51,CĂLĂRAŞI,92569,MUNICIPIUL CĂLĂRAŞI,DIRECTOR GENERAL,JURIST,12,CĂLĂRAŞI,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,3
189,STOIAN,GHEORGHE,51,CĂLĂRAŞI,92569,MUNICIPIUL CĂLĂRAŞI,DIRECTOR,PROFESOR,12,CĂLĂRAŞI,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,3
190,NOVAC,ȘTEFAN,51,CĂLĂRAŞI,92569,MUNICIPIUL CĂLĂRAŞI,BROKER ASIGURĂRI,ECONOMIST,12,CĂLĂRAŞI,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,1
191,NICOLACHE,ELENA,51,CĂLĂRAŞI,92569,MUNICIPIUL CĂLĂRAŞI,ADMINISTRATOR,ECONOMIST,12,CĂLĂRAŞI,CD,CI,,,
192,CÂRJILĂ,GEORGETA,51,CĂLĂRAŞI,92569,MUNICIPIUL CĂLĂRAŞI,EXPERT CONTABIL,EXPERT CONTABIL,12,CĂLĂRAŞI,S,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,2
193,PAȚURCĂ,ROXANA-NATALIA,51,CĂLĂRAŞI,92569,MUNICIPIUL CĂLĂRAŞI,PROFESOR,ECONOMIST,12,CĂLĂRAŞI,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,1
194,FUDULU,VASILE MIRCEA,51,CĂLĂRAŞI,100610,MUNICIPIUL OLTENIŢA,ADMINISTRATOR FIRMĂ,TEHNICIAN,12,CĂLĂRAŞI,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,3
195,CRÂNGAȘU,IONUȚ,51,CĂLĂRAŞI,100610,MUNICIPIUL OLTENIŢA,LUCRĂTOR COMERCIAL,INGINER SANITAR,12,CĂLĂRAŞI,S,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,3
196,ȚUȚU,IONUȚ-GEORGIAN,51,CĂLĂRAŞI,100610,MUNICIPIUL OLTENIŢA,MERCEOLOG,MERCEOLOG,12,CĂLĂRAŞI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,6
197,BERBEC,ȘTEFAN-ALEXANDRU,51,CĂLĂRAŞI,100610,MUNICIPIUL OLTENIŢA,-,JURIST,12,CĂLĂRAŞI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,3
198,NEGOIȚĂ,OCTAVIAN,51,CĂLĂRAŞI,100610,MUNICIPIUL OLTENIŢA,ADMINISTRATOR,INGINER,12,CĂLĂRAŞI,S,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,1
199,IACOMI,IULIAN,51,CĂLĂRAŞI,93888,ORAŞ LEHLIU-GARĂ,PRIMAR,INGINER,12,CĂLĂRAŞI,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,2
200,NICULAE,AUREL,51,CĂLĂRAŞI,93085,CIOCĂNEŞTI,DEPUTAT,ECONOMIST,12,CĂLĂRAŞI,S,CI,,,
201,COMAN,VALENTIN,51,CĂLĂRAŞI,93771,INDEPENDENŢA,SILVICULTOR,SILVICULTOR,12,CĂLĂRAŞI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,4
202,RÂJNOVEANU,NICOLAE,51,CĂLĂRAŞI,94312,ROSEŢI,PRIMAR,SPECIALIST ADMINISTRAȚIE PUBLICĂ,12,CĂLĂRAŞI,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,4
203,CHIRIȚĂ,GEORGE,51,CĂLĂRAŞI,94312,ROSEŢI,INGINER DE VÂNĂTOARE,INGINER SILVIC,12,CĂLĂRAŞI,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,4
204,CĂLIN,PETRE-ALEXANDRU,51,CĂLĂRAŞI,104886,SĂRULEŞTI,PRIMAR,ȘTINȚELE NATURII,12,CĂLĂRAŞI,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,6
205,CHERECHEŞ,IOAN-AUREL,12,CLUJ,54975,MUNICIPIUL CLUJ-NAPOCA,Lector universitar,Inginer,13,CLUJ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,9
206,OPREA,AUGUSTIN,12,CLUJ,54975,MUNICIPIUL CLUJ-NAPOCA,Economist,Economist,13,CLUJ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,12
207,GÎRBOAN,GABRIELA MIRELA,12,CLUJ,54975,MUNICIPIUL CLUJ-NAPOCA,Manager calitate,Medic veterinar,13,CLUJ,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,4
208,SĂRMAŞ,IOAN-SABIN,12,CLUJ,54975,MUNICIPIUL CLUJ-NAPOCA,Inginer sistem software,Inginer telecomunicaţii,13,CLUJ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,12
209,NICOARĂ,MARIUS-PETRE,12,CLUJ,54975,MUNICIPIUL CLUJ-NAPOCA,senator,inginer,13,CLUJ,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,1
210,PUŞCĂ,MIRCEA-VALER,12,CLUJ,54975,MUNICIPIUL CLUJ-NAPOCA,Director DRML Cluj-Napoca,Inginer,13,CLUJ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,8
211,KEREKI,NORBERT-ZSOLT,12,CLUJ,54975,MUNICIPIUL CLUJ-NAPOCA,STUDENT,FĂRĂ,10,BUZĂU,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,7
212,ILEA,VASILE,12,CLUJ,54975,MUNICIPIUL CLUJ-NAPOCA,Consilier judeţean,Inginer,13,CLUJ,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,1
213,CÎMPEAN,OVIDIU VASILE,12,CLUJ,54975,MUNICIPIUL CLUJ-NAPOCA,Director,Specialist in Relaţii Internaţionale şi Studii Europene,13,CLUJ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,7
214,TIŞE,ALIN-PĂUNEL,12,CLUJ,54975,MUNICIPIUL CLUJ-NAPOCA,Preşedintele Consiliului Judeţean Cluj,Jurist,13,CLUJ,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,3
215,CROITORU,CORINA-ECATERINA,12,CLUJ,54975,MUNICIPIUL CLUJ-NAPOCA,Profesor,Profesor,13,CLUJ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,10
216,MĂTUŞAN,VLADIMIR,12,CLUJ,54975,MUNICIPIUL CLUJ-NAPOCA,Avocat,Avocat,13,CLUJ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,7
217,RUSU,TEODOR,12,CLUJ,54975,MUNICIPIUL CLUJ-NAPOCA,Profesor universitar,Inginer,13,CLUJ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,6
218,POP,GHEORGHE,12,CLUJ,54975,MUNICIPIUL CLUJ-NAPOCA,Masterand,Licenţiat in informatică,13,CLUJ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,13
219,ZORILESCU,ANDREI-LIVIU,12,CLUJ,54975,MUNICIPIUL CLUJ-NAPOCA,Antreprenor,Specialist comunicare,13,CLUJ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,13
220,STAMATIAN,VASILE-FLORIN,12,CLUJ,54975,MUNICIPIUL CLUJ-NAPOCA,Profesor universitar,Medic,13,CLUJ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,1
221,NASRA,GABRIEL-HORIA,12,CLUJ,54975,MUNICIPIUL CLUJ-NAPOCA,Consilier local,Profesor,13,CLUJ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,1
222,MUNTEANU,IRINA,12,CLUJ,55357,MUNICIPIUL CÂMPIA TURZII,Coordonator Centru Carine,Asistent social,13,CLUJ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,6
223,ŞIPOŞ,SIMINA,12,CLUJ,55357,MUNICIPIUL CÂMPIA TURZII,Şef birou,Economist,13,CLUJ,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,2
224,MÎNZAT,MARIUS-DOREL,12,CLUJ,55008,MUNICIPIUL DEJ,Vicepreşedintele Consiliului Judeţean Cluj,inginer,13,CLUJ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,4
225,ITU,CORNEL,12,CLUJ,55008,MUNICIPIUL DEJ,Deputat,Inginer,13,CLUJ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,2
226,SABO,MARIUS-CĂLIN,12,CLUJ,55384,MUNICIPIUL GHERLA,Director SDE USA-MV Cluj-Napoca,Inginer zootehnist,13,CLUJ,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,5
227,TRIF,IULIA-MARIA,12,CLUJ,55384,MUNICIPIUL GHERLA,Viceprimar,Avocat,13,CLUJ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,4
228,ŞTEFĂNIE,TUDOR,12,CLUJ,55259,MUNICIPIUL TURDA,Manager general,economist,13,CLUJ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,5
229,BURCIU,CRISTINA,12,CLUJ,55259,MUNICIPIUL TURDA,Director general,Economist,13,CLUJ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,3
230,GIURGIU,MARINELA,12,CLUJ,55446,ORAŞ HUEDIN,Consilier juridic evaluator proprietăţi imobiliare,jurist economist,13,CLUJ,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,6
231,BALÁZS,JANOS,12,CLUJ,55838,BACIU,Viceprimar,Inginer,13,CLUJ,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,4
232,GHIŢEA,GABRIEL-DĂNUŢ,12,CLUJ,56014,BELIŞ,Inginer silvic,Inginer silvic,13,CLUJ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,8
233,BALAZS,ZSUZSIKA,12,CLUJ,57449,CORNEŞTI,PENSIONAR,LABORANT CHIMIST,27,MEHEDINŢI,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,2
234,TULUC,CĂLIN-MARIN,12,CLUJ,57706,FLOREŞTI,Avocat,Jurist,13,CLUJ,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,2
235,GROŞAN,NICOLAE-GIULIAN,12,CLUJ,57706,FLOREŞTI,Director,Economist,13,CLUJ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,10
236,TODEA,COSMIN-ALEXANDRU,12,CLUJ,57706,FLOREŞTI,Director General,Economist,13,CLUJ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,11
237,OROS,NECHITA-ADRIAN,12,CLUJ,57706,FLOREŞTI,Conferenţiar universitar doctor deputat,Medic veterinar,13,CLUJ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,2
238,TOPAN,GELU-VASILE,12,CLUJ,57902,GILĂU,Şef birou,Inginer,13,CLUJ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,9
239,POJAR,VALENTIN-DOREL,12,CLUJ,58259,JUCU,Primar,Inginer,13,CLUJ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,5
240,ZENG,IOAN,12,CLUJ,55277,MIHAI VITEAZU,PRIMAR,SPECIALIST ADMINISTRAȚIE,27,MEHEDINŢI,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,1
241,MORARIU,ADRIAN DANIEL,12,CLUJ,59041,POIENI,Inginer,Doctorand,13,CLUJ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,11
242,FĂRGACIU,CĂLIN-STELIAN,12,CLUJ,55311,SĂNDULEŞTI,Primar,Inginer,13,CLUJ,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,3
243,BALAZS,ALBERT-STEFAN,12,CLUJ,59657,SUATU,TRACTORIST,MECANIC AGRICOL,27,MEHEDINŢI,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,3
244,GOIDEA,FLORIN,13,CONSTANŢA,60419,MUNICIPIUL CONSTANŢA,DIRECTOR COMPANIE DE NAVIGAȚIE MARITIMĂ,OFITER MARINA,14,CONSTANŢA,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,6
