"DIACONESCU CRISTIAN";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S3 Bucuresti";16794
"SERBAN TUDOR";"PARTIDUL DEMOCRAT LIBERAL";"S3 Bucuresti";13883
"DRAGAN DIDINA";"PARTIDUL NATIONAL LIBERAL";"S3 Bucuresti";4449
"UNGUREANU CARMEN-SILVIA";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S3 Bucuresti";3217
"IONESCU MIHAELA";"PARTIDUL ROMÂNIA MARE";"S3 Bucuresti";1613
"KOZMA ANDREI";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S3 Bucuresti";199
"BOAGIU ANCA-DANIELA";"PARTIDUL DEMOCRAT LIBERAL";"S4 Bucuresti";24854
"NICOLAE SERB AN";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S4 Bucuresti";19248
"NAICU VLAD-ION";"PARTIDUL NATIONAL LIBERAL";"S4 Bucuresti";8646
"FUCIU DANIEL";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S4 Bucuresti";6675
"CRISTEA AUREL";"PARTIDUL ROMÂNIA MARE";"S4 Bucuresti";2534
"HATEGANU CONSTANTIN- NICOLAE";"PARTIDUL VERDE ECOLOGIST";"S4 Bucuresti";843
"KOVÂCS LADISLAU-DESIDERIU";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S4 Bucuresti";295
"BLAGA VASILE";"PARTIDUL DEMOCRAT LIBERAL";"S5 Bucuresti";25131
"TRÂISTARU CONSTANTIN";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S5 Bucuresti";14450
"FLEACA DANUT-IOAN";"PARTIDUL NATIONAL LIBERAL";"S5 Bucuresti";6571
"PATRASCU MARCELA";"PARTIDUL ROMÂNIA MARE";"S5 Bucuresti";2095
"DOROBANTU HORIA";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S5 Bucuresti";1403
"SANDU EMILIA";"PARTIDUL VERDE ECOLOGIST";"S5 Bucuresti";852
"TUDOR ADRIAN";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S5 Bucuresti";222
"RADULESCU CRISTIAN";"PARTIDUL DEMOCRAT LIBERAL";"S6 Bucuresti";23942
"MARASESCU NICULAE-ION- ANTON";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S6 Bucuresti";15441
"ILIESCU IRINEL-CAIUS";"PARTIDUL NATIONAL LIBERAL";"S6 Bucuresti";5551
"BALAN ANGELA-MIHAELA";"PARTIDUL ROMÂNIA MARE";"S6 Bucuresti";2544
"CERCELARU DANIELA";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S6 Bucuresti";1810
"BÂTHORY ISTVÂN";"UNIUNEA DEMOCRATA MAGHIARA DON ROMÂNIA";"S6 Bucuresti";254
"TALPES IOAN";"PARTIDUL DEMOCRAT LIBERAL";"S7 Bucuresti";9764
"CÂMPUREAN ADRIAN-MIHAI";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S7 Bucuresti";9641
"TOPESCU CRISTIAN-GEORGE";"PARTIDUL NATIONAL LIBERAL";"S7 Bucuresti";6598
"SIMION FLORIAN-PAUL";"PARTIDUL ROMÂNIA MARE";"S7 Bucuresti";1093
"HEIDARI ABDOLREZA";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S7 Bucuresti";675
"DUMITRESCU CONSTANTIN";"PARTIDUL VERDE ECOLOGIST";"S7 Bucuresti";403
"NAGY BENEDEK";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S7 Bucuresti";138
"SUSANU GHEORGHE";"PARTIDUL POPULAR SI AL PROTECTIEI SOCIALE";"S7 Bucuresti";129
"VOICULESCU DAN";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S8 Bucuresti";21711
"IONESCU RAZVAN";"PARTIDUL DEMOCRAT LIBERAL";"S8 Bucuresti";17340
"MIRCESCU PAUL-DANIEL";"PARTIDUL NATIONAL LIBERAL";"S8 Bucuresti";5195
"RAHNEA NITA GABRIELA";"PARTIDUL ROMÂNIA MARE";"S8 Bucuresti";1925
"ANDRABULEA GIGEL";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S8 Bucuresti";1151
